Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,32.599998,33.369999,32.009998,33.369999,33.369999,1482900
2019-05-21,33.450001,34.779999,33.299999,34.750000,34.750000,2247900
2019-05-22,34.840000,35.200001,34.290001,34.580002,34.580002,1397500
2019-05-23,34.150002,35.000000,33.759998,34.610001,34.610001,1259800
2019-05-24,34.799999,35.090000,34.400002,34.680000,34.680000,1102500
2019-05-27,35.150002,35.580002,34.610001,34.709999,34.709999,1206000
2019-05-28,34.939999,35.230000,33.860001,34.700001,34.700001,2355200
2019-05-29,34.400002,35.220001,34.000000,35.009998,35.009998,2294700
2019-05-30,34.630001,36.000000,34.490002,34.750000,34.750000,2333700
2019-05-31,34.750000,36.000000,34.750000,35.669998,35.669998,2151200
2019-06-03,35.990002,36.340000,35.419998,35.970001,35.970001,2008300
2019-06-04,35.970001,36.599998,35.730000,36.349998,36.349998,1637700
2019-06-05,36.490002,36.590000,35.900002,35.900002,35.900002,1193800
2019-06-06,36.360001,36.980000,36.110001,36.980000,36.980000,2420300
2019-06-07,37.220001,37.790001,36.810001,36.980000,36.980000,2333100
2019-06-10,36.889999,37.139999,36.320000,36.419998,36.419998,903500
2019-06-11,36.520000,37.299999,36.520000,37.290001,37.290001,2766900
2019-06-12,37.259998,37.799999,36.599998,36.849998,36.849998,2920400
2019-06-13,36.240002,36.810001,35.730000,36.060001,36.060001,5124100
2019-06-14,35.980000,36.770000,35.939999,36.180000,36.180000,2138800
2019-06-17,36.169998,36.439999,35.130001,35.209999,35.209999,1978200
2019-06-18,35.490002,36.000000,34.930000,35.259998,35.259998,1800500
2019-06-19,35.349998,35.680000,34.669998,35.680000,35.680000,2746400
