Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,20.273001,20.542200,20.172800,20.247900,16.210472,11272239
2015-05-05,20.047600,20.492100,19.847200,20.316799,16.279507,14615817
2015-05-06,20.266701,20.441999,19.615601,19.815901,15.878144,13968951
2015-05-07,19.628099,19.841000,19.509100,19.740801,15.817966,7899591
2015-05-08,20.078899,20.110201,19.552999,19.815901,15.878144,8371564
2015-05-11,19.972500,19.997499,19.634399,19.753300,15.827973,9792753
2015-05-12,19.640600,19.803400,19.552999,19.552999,15.667483,6313572
2015-05-13,19.565500,19.678200,19.277500,19.358900,15.511958,9711615
2015-05-14,19.409000,19.828400,19.258699,19.803400,15.868127,8617693
2015-05-15,19.797100,20.210400,19.671900,20.147800,16.144087,9383869
2015-05-18,20.222900,20.254200,19.471600,19.634399,15.732708,14891814
2015-05-19,19.697001,19.747101,19.108400,19.459000,15.592167,9408626
2015-05-20,19.164801,19.302500,18.864300,18.908100,15.150738,19693795
2015-05-21,18.770300,18.826700,18.357100,18.682699,14.970126,21900647
2015-05-22,18.482300,18.532400,18.094200,18.156799,14.548734,29969062
2015-05-25,18.213100,18.519899,18.112900,18.344601,14.699213,6834419
2015-05-26,18.231899,18.263201,17.687201,17.687201,14.172455,21369897
2015-05-27,17.881300,18.369600,17.624599,18.332100,14.689206,24338932
2015-05-28,18.144300,18.194300,17.799900,18.119200,14.518606,22342432
2015-05-29,18.144300,18.144300,17.643400,17.655899,14.147371,24118039
2015-06-01,17.743500,17.868799,17.530701,17.549500,14.062114,10511333
2015-06-02,17.762300,18.144300,17.724800,18.138000,14.549400,15730024
2015-06-03,18.025299,18.025299,17.568199,17.649599,14.157628,31378272
2015-06-05,17.530701,17.593300,17.242701,17.274000,13.856342,14037152
2015-06-08,17.349100,17.511900,17.217600,17.255199,13.841262,13384536
2015-06-09,17.305300,17.436800,17.011000,17.155001,13.760889,17346071
2015-06-10,17.417999,17.824900,17.330299,17.781099,14.263111,17455799
2015-06-11,17.850000,17.962700,17.455500,17.756100,14.243058,15456424
2015-06-12,17.530701,17.712200,17.349100,17.405500,13.961828,26529332
2015-06-15,17.280199,17.399200,16.967199,17.336599,13.906557,15190171
2015-06-16,17.417999,17.843700,17.324100,17.724800,14.217953,14413133
2015-06-17,17.593300,17.655899,17.286501,17.349100,13.916585,14485167
2015-06-18,17.536900,18.106701,17.292801,18.000200,14.438866,13506722
2015-06-19,17.768600,17.943899,17.499399,17.637100,14.147605,16291919
2015-06-22,17.774900,17.950199,17.593300,17.806200,14.283251,15001062
2015-06-23,17.850000,18.119200,17.762300,17.918900,14.528590,10013805
2015-06-24,17.956400,18.094200,17.799900,18.031601,14.619968,6987910
2015-06-25,18.081600,18.081600,17.562000,17.969000,14.569209,14812273
2015-06-26,17.887600,18.269501,17.887600,18.231899,14.782370,10737976
2015-06-29,17.906300,18.131701,17.655899,17.743500,14.386374,10991771
2015-06-30,17.912600,18.018999,17.705999,17.799900,14.432105,10246038
2015-07-01,17.937599,18.000200,17.655899,17.743500,14.386374,11878696
2015-07-02,17.937599,18.144300,17.824900,18.094200,14.686424,10393779
2015-07-03,17.975201,18.037800,17.756100,17.887600,14.518736,3790635
2015-07-06,17.599600,17.824900,17.424200,17.536900,14.234083,12467743
2015-07-07,17.436800,17.505600,17.029800,17.380400,14.107063,15031409
2015-07-08,17.292801,17.568199,17.104900,17.111200,13.888560,8828363
2015-07-10,17.511900,17.881300,17.405500,17.843700,14.483110,12113005
2015-07-13,18.012800,18.225599,17.787399,18.156799,14.737236,11879654
2015-07-14,18.094200,18.382200,17.937599,18.269501,14.828716,9975792
2015-07-15,18.313299,18.313299,17.981501,18.181801,14.757531,9380675
2015-07-16,18.363400,18.400900,18.000200,18.094200,14.686424,10453993
2015-07-17,18.150499,18.338301,17.831200,18.044100,14.645762,9067145
2015-07-20,17.925100,17.981501,17.624599,17.693501,14.361198,7233719
2015-07-21,17.655899,17.699699,17.355400,17.468100,14.178243,9985375
2015-07-22,17.330299,17.430500,17.111200,17.248899,14.000326,9302093
2015-07-23,17.242701,17.367901,16.528900,16.585300,13.461707,22519881
2015-07-24,16.591499,16.741800,16.172100,16.735500,13.583619,19877154
2015-07-27,16.716700,17.067400,16.654100,16.967199,13.771681,15585797
2015-07-28,17.129999,17.336599,16.672899,17.142500,13.913966,18542214
2015-07-29,16.973400,17.455500,16.973400,17.286501,14.030842,12019090
2015-07-30,17.405500,17.405500,16.816900,16.841999,13.670059,13823287
2015-07-31,16.960899,17.255199,16.917101,17.205099,13.964781,11717219
2015-08-03,16.616600,16.710501,16.341101,16.472601,13.370233,27592588
2015-08-04,16.547701,16.579000,16.153299,16.309799,13.253360,19094366
2015-08-05,16.403700,16.535200,16.028000,16.240900,13.197374,15163338
2015-08-06,16.059299,16.497601,15.978000,16.309799,13.253360,12459917
2015-08-07,16.096901,16.328600,15.752600,15.852700,12.881920,16643623
2015-08-10,15.959200,16.122000,15.884100,16.059299,13.049806,9303690
2015-08-11,16.090700,16.328600,15.727500,16.328600,13.268638,13504805
2015-08-12,15.777600,15.827700,15.464600,15.583500,12.663165,23441785
2015-08-13,15.533400,15.583500,15.164000,15.214100,12.362989,17651616
2015-08-14,15.226700,15.427000,15.070100,15.132700,12.296849,18397668
2015-08-17,15.063900,15.314300,14.825900,14.876000,12.088254,8763996
2015-08-18,14.838500,15.520900,14.613100,15.176600,12.332517,29771009
2015-08-19,14.926100,14.944900,14.525400,14.719500,11.961079,19612019
2015-08-20,14.619300,14.769600,14.450300,14.638100,11.894933,21348175
2015-08-21,14.519200,14.769600,14.337600,14.475300,11.762643,26272343
2015-08-24,13.868000,14.644400,13.617600,14.412700,11.711774,31082949
2015-08-25,14.738300,14.819700,14.156000,14.156000,11.503178,24070283
2015-08-26,14.494100,15.120200,14.262500,15.076400,12.251098,32035679
2015-08-27,15.276700,15.683700,15.101400,15.502100,12.597022,27223795
2015-08-28,15.164000,15.552200,14.894800,15.007500,12.195108,22152685
2015-08-31,14.512900,14.625600,14.312500,14.431500,11.727054,35667073
2015-09-01,13.961900,14.237400,13.899300,14.018300,11.391285,24256517
2015-09-02,14.156000,14.300000,13.905600,14.262500,11.605427,18431528
2015-09-03,14.387700,14.619300,14.012000,14.619300,11.895758,25747503
2015-09-04,14.224900,14.425200,13.999500,13.999500,11.391427,20542548
2015-09-08,14.419000,14.419000,14.212400,14.325100,11.656369,16668539
2015-09-09,14.475300,14.869800,14.462800,14.494100,11.793885,24092804
2015-09-10,14.080900,14.450300,13.880500,14.181100,11.539191,23877501
2015-09-11,14.105900,14.174800,13.955700,14.024500,11.411768,15377203
2015-09-14,14.062100,14.713300,13.961900,14.650600,11.921227,18411084
2015-09-15,14.625600,15.038800,14.575500,14.932400,12.150532,17358050
2015-09-16,15.032600,15.495900,15.032600,15.489600,12.603925,21170407
2015-09-17,15.339300,15.821400,15.214100,15.445800,12.568284,21460938
2015-09-18,15.245400,15.314300,14.481600,14.606800,11.885586,30438000
2015-09-21,14.550500,14.707000,14.037100,14.156000,11.518771,20630713
2015-09-22,13.968200,14.350100,13.705200,14.212400,11.564664,22801787
2015-09-23,14.181100,14.375200,13.730300,13.730300,11.172378,19396397
2015-09-24,13.317000,14.012000,13.054100,13.893100,11.304849,25416084
2015-09-25,14.068400,14.168500,13.467300,13.573700,11.044950,15828731
2015-09-28,13.379700,13.448500,13.066600,13.235700,10.769919,19042138
2015-09-29,13.254400,13.529900,13.123000,13.154300,10.703688,20209531
2015-09-30,13.617600,13.636400,13.085400,13.411000,10.912565,27167733
2015-10-01,13.461100,13.680200,13.348400,13.592500,11.060249,16265565
2015-10-02,13.479800,14.093400,13.373400,14.093400,11.483867,20666011
2015-10-05,14.393900,14.838500,14.237400,14.506600,11.820557,19748899
2015-10-06,14.450300,14.713300,14.362600,14.644400,11.932841,17011458
2015-10-07,14.963700,15.502100,14.763300,15.170300,12.361363,26913299
2015-10-08,14.982500,15.308000,14.926100,15.182800,12.371551,20512520
2015-10-09,15.408200,15.452000,14.775900,15.020000,12.238895,20181421
2015-10-13,14.681900,14.681900,13.924400,14.199900,11.570644,30905501
2015-10-14,14.105900,14.393900,13.961900,14.124700,11.509371,38480860
2015-10-15,14.156000,14.243700,13.780400,14.074600,11.468544,15628921
2015-10-16,14.049600,14.068400,13.680200,13.805400,11.249191,21835800
2015-10-19,13.855500,14.037100,13.749100,13.786600,11.233872,22837404
2015-10-20,13.868000,13.924400,13.379700,13.461100,10.968640,21425320
2015-10-21,13.461100,13.623800,13.304500,13.479800,10.983881,15364265
2015-10-22,13.573700,13.843000,13.529900,13.680200,11.147170,16626692
2015-10-23,14.012000,14.055900,13.461100,13.492400,10.994143,16178039
2015-10-26,13.586300,13.711500,13.185600,13.392200,10.912497,17816287
2015-10-27,13.398400,13.486100,13.248200,13.448500,10.958379,19517624
2015-10-28,13.993200,14.068400,13.918100,14.037100,11.437990,2704698
2015-10-29,13.461100,13.817900,13.173000,13.173000,10.733889,23494333
2015-10-30,13.292000,13.367100,13.054100,13.148000,10.713511,22117866
2015-11-03,13.273200,13.868000,13.110400,13.843000,11.279826,27105762
2015-11-04,14.093400,14.118500,13.442300,13.555000,11.060317,27063276
2015-11-05,13.605100,13.924400,13.486100,13.924400,11.361732,18444146
2015-11-06,13.843000,13.855500,13.555000,13.724000,11.198212,22744607
2015-11-09,13.655200,13.717800,13.367100,13.417200,10.947877,24020770
2015-11-10,13.398400,13.404700,12.991500,13.348400,10.891739,17973451
2015-11-11,13.479800,13.736500,13.373400,13.673900,11.157334,18191150
2015-11-12,13.542400,13.755300,13.204400,13.667700,11.152274,18926820
2015-11-13,13.473600,13.623800,13.317000,13.467300,10.988759,21749232
2015-11-16,13.486100,13.580000,13.310800,13.580000,11.080712,26458257
2015-11-17,13.642600,14.300000,13.642600,14.087100,11.494490,26167087
2015-11-18,14.087100,14.444000,14.005800,14.199900,11.586526,18352147
2015-11-19,14.400200,14.650600,14.287500,14.650600,11.954277,20148199
2015-11-23,14.838500,14.926100,14.337600,14.506600,11.836780,24781037
2015-11-24,14.337600,14.487900,14.055900,14.406500,11.755104,17228996
2015-11-25,14.143500,14.199900,13.680200,13.705200,11.182874,27568790
2015-11-26,13.730300,14.093400,13.711500,14.005800,11.428148,17562811
2015-11-27,13.886800,13.905600,13.436000,13.492400,11.009233,22284933
2015-11-30,13.335800,13.473600,13.054100,13.223100,10.789500,52778356
2015-12-01,13.223100,13.379700,13.035300,13.148000,10.728219,22420535
2015-12-02,13.191800,13.385900,12.897600,13.129200,10.728364,25934375
2015-12-03,13.711500,14.174800,13.586300,13.705200,11.199037,34983152
2015-12-04,13.673900,13.673900,13.304500,13.517400,11.045578,20855120
2015-12-07,13.648900,13.874300,13.348400,13.379700,10.933060,13498576
2015-12-08,13.385900,13.461100,13.029000,13.085400,10.692571,24632817
2015-12-09,13.292000,13.849200,13.273200,13.742800,11.229761,38835599
2015-12-10,13.642600,13.799200,13.148000,13.148000,10.743723,25410973
2015-12-11,12.997800,13.354600,12.972700,13.035300,10.651634,26720198
2015-12-14,12.985200,12.991500,12.728500,12.803700,10.462386,21517319
2015-12-15,12.897600,13.198100,12.878800,13.004000,10.626055,14389175
2015-12-16,12.835000,13.229400,12.590800,13.116700,10.718147,41731482
2015-12-17,13.054100,13.129200,12.778600,12.860000,11.231494,29198733
2015-12-18,12.434300,12.672200,12.183800,12.302800,10.744854,36094963
2015-12-21,12.421700,12.484400,11.914600,11.945900,10.433152,20267669
2015-12-22,12.033600,12.259000,11.958400,12.052300,10.526078,14345731
2015-12-23,12.240200,12.246400,11.996000,12.146300,10.608174,10931556
2015-12-28,12.208900,12.309000,12.064900,12.265200,10.712014,9826294
2015-12-29,12.384200,12.396700,12.233900,12.327800,10.766689,8782524
2015-12-30,12.359100,12.359100,12.021000,12.071100,10.542494,13506562
2016-01-04,11.908300,12.071100,11.758100,11.895800,10.389396,17128852
2016-01-05,11.971000,12.077400,11.776900,11.927100,10.433375,12680490
2016-01-06,11.751800,11.895800,11.557700,11.758100,10.285540,23527395
2016-01-07,11.507600,11.708000,11.482600,11.520200,10.077434,32834439
2016-01-08,11.657900,11.695500,11.269700,11.294800,9.880261,19678303
2016-01-11,11.338600,11.470100,10.944100,10.975500,9.600951,17734350
2016-01-12,11.113200,11.138200,10.850200,10.912900,9.546191,18231080
2016-01-13,11.081900,11.113200,10.656100,10.756300,9.409201,19717913
2016-01-14,10.831500,11.081900,10.656100,11.081900,9.694023,20249142
2016-01-15,10.887800,10.887800,10.599800,10.800100,9.447517,25859626
2016-01-18,10.806400,10.894100,10.706200,10.706200,9.365375,14828245
2016-01-19,10.956700,10.969200,10.687500,10.781400,9.431157,15068464
2016-01-20,10.656100,10.844000,10.599800,10.806400,9.453027,25809474
2016-01-21,10.737500,10.912900,10.599800,10.649900,9.316131,23948417
2016-01-22,10.743800,10.881500,10.656100,10.869000,9.507790,21191170
2016-01-26,10.725000,10.856500,10.656100,10.743800,9.398268,18065131
2016-01-27,10.731300,11.013000,10.706200,10.875300,9.513298,32277336
2016-01-28,11.013000,11.013000,10.781400,10.894100,9.529748,21618901
2016-01-29,10.950400,11.363600,10.869000,11.363600,9.940444,34247482
2016-02-01,11.282200,11.664200,11.150800,11.657900,10.197886,21702274
2016-02-02,11.326100,11.520200,11.125700,11.175800,9.792102,40041964
2016-02-03,11.770600,11.952200,11.495100,11.714200,10.263841,79661308
2016-02-04,11.877000,12.691000,11.632900,12.352900,10.823465,51767328
2016-02-05,12.352900,12.540700,12.152500,12.227600,10.713675,25854356
2016-02-10,12.033600,12.396700,12.033600,12.365400,10.834414,12608457
2016-02-11,12.127500,12.246400,11.914600,12.046100,10.554649,15992444
2016-02-12,12.196300,12.196300,11.883300,12.083600,10.587505,15426876
2016-02-15,12.240200,12.365400,12.058600,12.083600,10.587505,8465639
2016-02-16,12.115000,12.615800,12.027300,12.515600,10.966016,20269586
2016-02-17,12.603300,12.972700,12.346600,12.653400,11.086759,32113463
2016-02-18,12.578300,12.578300,12.259000,12.396700,10.861840,20421160
2016-02-19,12.271500,12.559500,12.208900,12.446800,10.905738,17957000
2016-02-22,12.766100,13.198100,12.728500,13.097900,11.476225,28475041
2016-02-23,12.891300,13.267000,12.853700,12.972700,11.366525,18690754
2016-02-24,12.803700,12.960200,12.540700,12.947700,11.344622,15359314
2016-02-25,12.828700,13.179300,12.728500,12.910100,11.311674,16881446
2016-02-26,13.173000,13.210600,12.784900,12.947700,11.344622,13696629
2016-02-29,13.141800,13.423500,13.004000,13.360900,11.706660,33046867
2016-03-01,13.442300,13.830500,13.429800,13.736500,12.035758,25745746
2016-03-02,13.705200,14.024500,13.605100,14.024500,12.305099,24586019
2016-03-03,15.276700,15.276700,15.276700,15.276700,13.403777,43775099
2016-03-04,15.276700,16.892099,15.276700,16.854500,14.788139,69659003
2016-03-07,16.841999,16.841999,16.028000,16.378700,14.370671,26598172
2016-03-08,16.278500,16.873301,16.190800,16.460100,14.442093,36899792
